id,status_invoice_name,Purchase Date,Payment Method,Invoice Paid,Nama Event ,id_event,Nama Ticket
5202,PAID,7/15/22 0:23,GO-PAY,25375,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Koleksi Digital Pemain: Rezaldi Hehanusa
5203,PAID,7/15/22 0:59,GO-PAY,25375,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5204,PAID,7/15/22 8:22,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hansamu Yama
5206,PAID,7/15/22 9:16,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Michael Krmencik
5207,PAID,7/15/22 9:44,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5263,PAID,7/16/22 10:20,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Coach Thomas Doll
5264,PAID,7/16/22 10:25,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5265,PAID,7/16/22 10:27,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Ondrej Kudela
5266,PAID,7/16/22 10:32,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5268,PAID,7/16/22 10:47,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5269,PAID,7/16/22 10:39,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Coach Thomas Doll
5270,PAID,7/16/22 10:48,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5271,PAID,7/16/22 10:49,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5272,PAID,7/16/22 10:51,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
